date,sentiment
2018-02-11,positive
2018-02-11,neutral
2018-02-12,neutral
2018-02-13,neutral
2018-02-13,neutral
2018-02-13,neutral
2018-02-13,neutral
2018-02-13,negative
2018-02-13,neutral
2018-02-13,neutral
2018-02-13,negative
2018-02-13,negative
2018-02-14,neutral
2018-02-14,positive
2018-02-14,neutral
2018-02-14,neutral
2018-02-14,neutral
2018-02-14,positive
2018-02-14,neutral
2018-02-14,neutral
2018-02-14,positive
2018-02-15,neutral
2018-02-15,neutral
2018-02-15,negative
2018-02-15,positive
2018-02-15,neutral
2018-02-15,neutral
2018-02-15,positive
2018-02-15,neutral
2018-02-15,neutral
2018-02-15,negative
2018-02-15,neutral
2018-02-16,negative
2018-02-18,negative
2018-02-18,neutral
2018-02-19,negative
2018-02-19,negative
2018-02-20,neutral
2018-02-20,negative
2018-02-21,neutral
2018-02-21,positive
2018-02-22,neutral
2018-02-23,neutral
2018-02-24,negative
2018-02-24,neutral
2018-02-25,neutral
2018-02-25,neutral
2018-02-26,neutral
2018-02-26,neutral
2018-02-26,positive
2018-02-26,neutral
2018-02-26,positive
2018-02-26,neutral
2018-02-27,negative
2018-02-28,neutral
2018-02-28,neutral
2018-03-01,neutral
2018-03-01,negative
2018-03-01,negative
2018-03-01,neutral
2018-03-02,positive
2018-03-02,negative
2018-03-02,neutral
2018-03-03,neutral
2018-03-03,positive
2018-03-04,neutral
2018-03-05,neutral
2018-03-05,positive
2018-03-05,neutral
2018-03-05,neutral
2018-03-05,neutral
2018-03-05,negative
2018-03-06,positive
2018-03-06,neutral
2018-03-06,neutral
2018-03-06,positive
2018-03-06,neutral
2018-03-07,neutral
2018-03-08,negative
2018-03-08,positive
2018-03-08,neutral
2018-03-08,neutral
2018-03-09,neutral
2018-03-09,neutral
2018-03-09,positive
2018-03-10,positive
2018-03-11,neutral
2018-03-12,neutral
2018-03-12,neutral
2018-03-13,neutral
2018-03-13,neutral
2018-03-13,negative
2018-03-13,neutral
2018-03-13,neutral
2018-03-13,neutral
2018-03-13,neutral
2018-03-13,positive
2018-03-14,negative
2018-03-14,neutral
2018-03-14,negative
2018-03-14,positive
2018-03-15,neutral
2018-03-15,positive
2018-03-16,positive
2018-03-16,neutral
2018-03-16,neutral
2018-03-19,neutral
2018-03-19,neutral
2018-03-19,neutral
2018-03-19,negative
2018-03-19,negative
2018-03-20,neutral
2018-03-20,neutral
2018-03-21,negative
2018-03-21,neutral
2018-03-22,neutral
2018-03-22,neutral
2018-03-22,positive
2018-03-23,neutral
2018-03-23,neutral
2018-03-23,positive
2018-03-24,negative
2018-03-24,negative
2018-03-24,negative
2018-03-24,neutral
2018-03-25,neutral
2018-03-25,positive
2018-03-26,negative
2018-03-26,neutral
2018-03-26,neutral
2018-03-27,neutral
2018-03-27,neutral
2018-03-27,neutral
2018-03-27,negative
2018-03-27,negative
2018-03-27,neutral
2018-03-27,neutral
2018-03-27,neutral
2018-03-27,neutral
2018-03-27,positive
2018-03-27,neutral
2018-03-27,negative
2018-03-27,neutral
2018-03-27,neutral
2018-03-27,neutral
2018-03-27,negative
2018-03-27,neutral
2018-03-27,negative
2018-03-27,negative
2018-03-27,negative
2018-03-28,neutral
2018-03-28,negative
2018-03-28,positive
2018-03-28,negative
2018-03-28,negative
2018-03-28,neutral
2018-03-28,negative
2018-03-28,neutral
2018-03-29,neutral
2018-03-29,neutral
2018-03-29,neutral
2018-03-29,positive
2018-03-29,neutral
2018-03-29,negative
2018-03-30,neutral
2018-03-31,neutral
2018-04-02,negative
2018-04-02,neutral
2018-04-02,neutral
2018-04-02,negative
2018-04-02,neutral
2018-04-03,positive
2018-04-03,neutral
2018-04-03,negative
2018-04-03,negative
2018-04-03,negative
2018-04-03,positive
2018-04-03,negative
2018-04-04,neutral
2018-04-04,negative
2018-04-04,neutral
2018-04-04,negative
2018-04-04,negative
2018-04-04,negative
2018-04-04,neutral
2018-04-04,neutral
2018-04-05,neutral
2018-04-05,negative
2018-04-06,neutral
2018-04-06,negative
2018-04-07,neutral
2018-04-07,neutral
2018-04-08,neutral
2018-04-09,negative
2018-04-09,neutral
2018-04-09,neutral
2018-04-09,neutral
2018-04-10,negative
2018-04-10,neutral
2018-04-10,neutral
2018-04-10,neutral
2018-04-10,neutral
2018-04-11,negative
2018-04-11,neutral
2018-04-11,positive
2018-04-11,negative
2018-04-12,positive
2018-04-12,neutral
2018-04-13,negative
2018-04-13,neutral
2018-04-13,neutral
2018-04-13,negative
2018-04-13,negative
2018-04-15,neutral
2018-04-16,neutral
2018-04-16,neutral
2018-04-16,neutral
2018-04-16,neutral
2018-04-16,neutral
2018-04-16,neutral
2018-04-16,positive
2018-04-17,negative
2018-04-17,neutral
2018-04-17,neutral
2018-04-17,negative
2018-04-17,neutral
2018-04-17,neutral
2018-04-17,neutral
2018-04-18,neutral
2018-04-19,negative
2018-04-19,negative
2018-04-19,negative
2018-04-19,neutral
2018-04-19,neutral
2018-04-19,negative
2018-04-19,negative
2018-04-19,negative
2018-04-19,neutral
2018-04-19,negative
2018-04-19,neutral
2018-04-19,negative
2018-04-19,negative
2018-04-19,negative
2018-04-19,neutral
2018-04-19,neutral
2018-04-19,neutral
2018-04-19,negative
2018-04-20,neutral
2018-04-20,negative
2018-04-20,negative
2018-04-20,negative
2018-04-20,negative
2018-04-20,negative
2018-04-21,negative
2018-04-21,neutral
2018-04-21,positive
2018-04-21,neutral
2018-04-23,negative
2018-04-23,positive
2018-04-23,negative
2018-04-23,positive
2018-04-23,negative
2018-04-24,neutral
2018-04-24,neutral
2018-04-24,neutral
2018-04-24,neutral
2018-04-24,negative
2018-04-24,neutral
2018-04-24,neutral
2018-04-25,negative
2018-04-25,negative
2018-04-25,neutral
2018-04-25,neutral
2018-04-25,neutral
2018-04-25,negative
2018-04-25,positive
2018-04-25,neutral
2018-04-25,negative
2018-04-25,neutral
2018-04-25,positive
2018-04-26,positive
2018-04-26,neutral
2018-04-26,positive
2018-04-26,positive
2018-04-26,neutral
2018-04-27,neutral
2018-04-27,neutral
2018-04-27,neutral
2018-04-27,neutral
2018-04-28,neutral
2018-04-29,positive
2018-04-30,negative
2018-04-30,neutral
2018-04-30,positive
2018-04-30,negative
2018-04-30,negative
2018-05-01,neutral
2018-05-01,neutral
2018-05-01,neutral
2018-05-01,positive
2018-05-01,neutral
2018-05-01,neutral
2018-05-01,neutral
2018-05-01,neutral
2018-05-01,neutral
2018-05-01,negative
2018-05-01,positive
2018-05-02,positive
2018-05-02,neutral
2018-05-02,neutral
2018-05-02,neutral
2018-05-02,neutral
2018-05-02,neutral
2018-05-02,neutral
2018-05-02,neutral
2018-05-02,negative
2018-05-02,negative
2018-05-02,neutral
2018-05-02,neutral
2018-05-02,negative
2018-05-02,neutral
2018-05-02,negative
2018-05-02,negative
2018-05-02,negative
2018-05-02,neutral
2018-05-02,neutral
2018-05-03,positive
2018-05-03,neutral
2018-05-03,negative
2018-05-03,negative
2018-05-04,neutral
2018-05-04,positive
2018-05-04,neutral
2018-05-04,negative
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,negative
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,negative
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-04,neutral
2018-05-05,positive
2018-05-05,neutral
2018-05-05,neutral
2018-05-05,neutral
2018-05-06,neutral
2018-05-06,neutral
2018-05-06,neutral
2018-05-06,neutral
2018-05-06,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-07,neutral
2018-05-08,positive
2018-05-09,neutral
2018-05-09,neutral
2018-05-09,positive
2018-05-09,neutral
2018-05-09,neutral
2018-05-10,positive
2018-05-10,neutral
2018-05-10,neutral
2018-05-10,negative
2018-05-10,negative
2018-05-10,negative
2018-05-10,negative
2018-05-10,neutral
2018-05-10,neutral
2018-05-10,neutral
2018-05-10,neutral
2018-05-10,neutral
2018-05-10,neutral
2018-05-11,positive
2018-05-12,positive
2018-05-13,neutral
2018-05-14,negative
2018-05-14,negative
2018-05-14,negative
2018-05-14,negative
2018-05-14,neutral
2018-05-15,neutral
2018-05-15,positive
2018-05-15,negative
2018-05-15,positive
2018-05-15,negative
2018-05-15,negative
2018-05-15,positive
2018-05-16,positive
2018-05-16,neutral
2018-05-16,negative
2018-05-16,neutral
2018-05-17,neutral
2018-05-17,positive
2018-05-17,positive
2018-05-18,neutral
2018-05-18,positive
2018-05-19,negative
2018-05-21,negative
2018-05-21,neutral
2018-05-22,negative
2018-05-23,positive
2018-05-23,neutral
2018-05-24,neutral
2018-05-24,positive
2018-05-24,neutral
2018-05-24,negative
2018-05-25,neutral
2018-05-25,positive
2018-05-25,neutral
2018-05-25,neutral
2018-05-25,neutral
2018-05-25,neutral
2018-05-25,negative
2018-05-25,neutral
2018-05-26,negative
2018-05-27,neutral
2018-05-30,negative
2018-05-30,neutral
2018-05-30,neutral
2018-05-31,negative
2018-05-31,positive
2018-05-31,negative
2018-05-31,neutral
2018-05-31,negative
2018-05-31,neutral
2018-06-01,negative
2018-06-01,negative
2018-06-01,positive
2018-06-01,neutral
2018-06-01,neutral
2018-06-01,negative
2018-06-02,neutral
2018-06-02,negative
2018-06-02,neutral
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,positive
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,positive
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,neutral
2018-06-04,negative
2018-06-04,neutral
2018-06-05,positive
2018-06-05,neutral
2018-06-05,negative
2018-06-05,negative
2018-06-05,negative
2018-06-05,neutral
2018-06-05,positive
2018-06-05,positive
2018-06-05,negative
2018-06-05,neutral
2018-06-05,neutral
2018-06-06,positive
2018-06-06,neutral
2018-06-06,neutral
2018-06-06,neutral
2018-06-06,neutral
2018-06-06,neutral
2018-06-06,neutral
2018-06-06,neutral
2018-06-06,neutral
2018-06-08,negative
2018-06-08,negative
2018-06-08,negative
2018-06-08,neutral
2018-06-08,positive
2018-06-08,negative
2018-06-08,negative
2018-06-08,negative
2018-06-08,neutral
2018-06-08,negative
2018-06-08,negative
2018-06-08,positive
2018-06-08,negative
2018-06-08,neutral
2018-06-09,negative
2018-06-11,neutral
2018-06-11,neutral
2018-06-11,neutral
2018-06-11,negative
2018-06-11,positive
2018-06-12,negative
2018-06-13,negative
2018-06-13,negative
2018-06-13,negative
2018-06-13,negative
2018-06-13,neutral
2018-06-14,neutral
2018-06-15,neutral
2018-06-15,neutral
2018-06-15,neutral
2018-06-15,negative
2018-06-15,positive
2018-06-15,negative
2018-06-15,neutral
2018-06-16,negative
2018-06-17,negative
2018-06-18,neutral
2018-06-19,negative
2018-06-19,neutral
2018-06-19,neutral
2018-06-19,neutral
2018-06-19,negative
2018-06-19,negative
2018-06-20,neutral
2018-06-20,neutral
2018-06-20,negative
2018-06-20,negative
2018-06-20,neutral
2018-06-20,neutral
2018-06-21,positive
2018-06-22,negative
2018-06-22,negative
2018-06-23,neutral
2018-06-25,neutral
2018-06-25,neutral
2018-06-25,positive
2018-06-26,neutral
2018-06-26,neutral
2018-06-26,neutral
2018-06-27,negative
2018-06-27,negative
2018-06-27,negative
2018-06-27,negative
2018-06-27,negative
2018-06-27,negative
2018-06-27,positive
2018-06-28,neutral
2018-06-29,neutral
2018-06-29,neutral
2018-06-29,neutral
2018-06-29,neutral
2018-06-30,neutral
2018-07-02,neutral
2018-07-03,negative
2018-07-03,negative
2018-07-03,neutral
2018-07-05,neutral
2018-07-08,neutral
2018-07-09,neutral
2018-07-09,positive
2018-07-09,positive
2018-07-10,positive
2018-07-10,neutral
2018-07-10,positive
2018-07-10,negative
2018-07-10,neutral
2018-07-10,negative
2018-07-10,negative
2018-07-11,negative
2018-07-11,negative
2018-07-11,negative
2018-07-11,negative
2018-07-11,negative
2018-07-11,negative
2018-07-11,positive
2018-07-11,neutral
2018-07-11,negative
2018-07-11,neutral
2018-07-11,neutral
2018-07-12,neutral
2018-07-12,neutral
2018-07-12,neutral
2018-07-12,negative
2018-07-13,neutral
2018-07-13,neutral
2018-07-13,neutral
2018-07-13,neutral
2018-07-14,negative
2018-07-15,neutral
2018-07-16,negative
2018-07-16,neutral
2018-07-17,positive
2018-07-17,negative
2018-07-18,negative
2018-07-18,negative
2018-07-19,negative
2018-07-19,negative
2018-07-19,neutral
2018-07-20,positive
2018-07-20,positive
2018-07-20,positive
2018-07-20,positive
2018-07-22,positive
2018-07-23,negative
2018-07-24,negative
2018-07-24,negative
2018-07-25,negative
2018-07-25,negative
2018-07-25,negative
2018-07-25,neutral
2018-07-25,neutral
2018-07-26,neutral
2018-07-26,neutral
2018-07-26,neutral
2018-07-26,neutral
2018-07-26,neutral
2018-07-26,positive
2018-07-26,neutral
2018-07-27,negative
2018-07-27,neutral
2018-07-29,positive
2018-07-29,neutral
2018-07-30,neutral
2018-07-31,neutral
2018-07-31,neutral
2018-07-31,neutral
2018-07-31,positive
2018-07-31,positive
2018-07-31,neutral
2018-07-31,neutral
2018-07-31,neutral
2018-07-31,neutral
2018-07-31,neutral
2018-07-31,neutral
2018-08-01,negative
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,negative
2018-08-01,negative
2018-08-01,negative
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,negative
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,negative
2018-08-01,negative
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,negative
2018-08-01,neutral
2018-08-01,neutral
2018-08-01,negative
2018-08-01,negative
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,negative
2018-08-02,neutral
2018-08-02,negative
2018-08-02,neutral
2018-08-02,negative
2018-08-02,negative
2018-08-02,positive
2018-08-02,positive
2018-08-02,negative
2018-08-02,positive
2018-08-02,negative
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,positive
2018-08-02,positive
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,negative
2018-08-02,negative
2018-08-02,negative
2018-08-02,neutral
2018-08-02,negative
2018-08-02,neutral
2018-08-02,neutral
2018-08-02,neutral
2018-08-03,neutral
2018-08-03,neutral
2018-08-03,neutral
2018-08-03,neutral
2018-08-03,neutral
2018-08-03,neutral
2018-08-03,negative
2018-08-03,positive
2018-08-04,neutral
2018-08-06,negative
2018-08-06,negative
2018-08-06,negative
2018-08-06,negative
2018-08-06,negative
2018-08-06,negative
2018-08-06,negative
2018-08-06,negative
2018-08-06,negative
2018-08-06,negative
2018-08-07,negative
2018-08-07,neutral
2018-08-08,negative
2018-08-09,positive
2018-08-09,positive
2018-08-09,positive
2018-08-09,negative
2018-08-09,neutral
2018-08-10,neutral
2018-08-10,positive
2018-08-10,positive
2018-08-11,positive
2018-08-11,neutral
2018-08-11,positive
2018-08-11,positive
2018-08-13,positive
2018-08-13,negative
2018-08-14,negative
2018-08-14,positive
2018-08-14,negative
2018-08-14,neutral
2018-08-14,negative
2018-08-14,neutral
2018-08-14,neutral
2018-08-14,negative
2018-08-15,neutral
2018-08-16,negative
2018-08-17,negative
2018-08-17,neutral
2018-08-18,neutral
2018-08-19,negative
2018-08-20,negative
2018-08-20,negative
2018-08-20,neutral
2018-08-20,neutral
2018-08-20,negative
2018-08-21,neutral
2018-08-22,positive
2018-08-22,neutral
2018-08-22,negative
2018-08-22,negative
2018-08-22,neutral
2018-08-22,neutral
2018-08-22,neutral
2018-08-22,negative
2018-08-22,negative
2018-08-23,neutral
2018-08-23,positive
2018-08-23,positive
2018-08-23,neutral
2018-08-23,negative
2018-08-24,neutral
2018-08-26,positive
2018-08-27,positive
2018-08-27,positive
2018-08-28,positive
2018-08-28,neutral
2018-08-29,neutral
2018-08-29,neutral
2018-08-30,neutral
2018-08-30,neutral
2018-08-30,positive
2018-08-30,positive
2018-08-30,neutral
2018-08-30,positive
2018-08-30,neutral
2018-08-30,neutral
2018-08-30,negative
2018-08-30,negative
2018-08-30,neutral
2018-08-30,neutral
2018-08-30,neutral
2018-08-31,neutral
2018-08-31,positive
2018-08-31,negative
2018-08-31,negative
2018-08-31,neutral
2018-08-31,neutral
2018-08-31,neutral
2018-08-31,negative
2018-08-31,neutral
2018-09-01,negative
2018-09-01,negative
2018-09-01,negative
2018-09-01,negative
2018-09-02,neutral
2018-09-04,negative
2018-09-04,neutral
2018-09-04,negative
2018-09-04,neutral
2018-09-04,neutral
2018-09-05,neutral
2018-09-05,neutral
2018-09-05,negative
2018-09-05,positive
2018-09-06,neutral
2018-09-06,neutral
2018-09-07,negative
2018-09-07,neutral
2018-09-07,neutral
2018-09-07,negative
2018-09-07,neutral
2018-09-07,neutral
2018-09-07,negative
2018-09-07,negative
2018-09-07,negative
2018-09-07,negative
2018-09-07,neutral
2018-09-07,negative
2018-09-07,negative
2018-09-08,negative
2018-09-08,negative
2018-09-08,negative
2018-09-08,negative
2018-09-08,negative
2018-09-08,neutral
2018-09-08,neutral
2018-09-09,positive
2018-09-10,neutral
2018-09-10,negative
2018-09-10,negative
2018-09-10,negative
2018-09-10,neutral
2018-09-10,neutral
2018-09-10,neutral
2018-09-10,neutral
2018-09-10,neutral
2018-09-10,neutral
2018-09-10,negative
2018-09-10,negative
2018-09-10,negative
2018-09-10,neutral
2018-09-10,neutral
2018-09-10,neutral
2018-09-10,negative
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-11,neutral
2018-09-12,positive
2018-09-12,positive
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,negative
2018-09-12,negative
2018-09-12,negative
2018-09-12,neutral
2018-09-12,negative
2018-09-12,neutral
2018-09-12,positive
2018-09-12,negative
2018-09-12,positive
2018-09-12,negative
2018-09-12,neutral
2018-09-12,positive
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,negative
2018-09-12,negative
2018-09-12,negative
2018-09-12,negative
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,negative
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,negative
2018-09-12,negative
2018-09-12,negative
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,negative
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,positive
2018-09-12,negative
2018-09-12,negative
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,positive
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,neutral
2018-09-12,positive
2018-09-13,neutral
2018-09-13,positive
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,negative
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,negative
2018-09-13,neutral
2018-09-13,negative
2018-09-13,negative
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,negative
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,negative
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-13,neutral
2018-09-14,neutral
2018-09-15,neutral
2018-09-16,negative
2018-09-17,negative
2018-09-17,neutral
2018-09-17,negative
2018-09-17,negative
2018-09-17,negative
2018-09-17,negative
2018-09-17,negative
2018-09-17,negative
2018-09-17,positive
2018-09-17,negative
2018-09-17,neutral
2018-09-17,negative
2018-09-17,neutral
2018-09-17,negative
2018-09-17,positive
2018-09-17,negative
2018-09-18,neutral
2018-09-18,neutral
2018-09-18,negative
2018-09-18,neutral
2018-09-18,neutral
2018-09-18,neutral
2018-09-18,neutral
2018-09-18,positive
2018-09-18,negative
2018-09-18,neutral
2018-09-18,neutral
2018-09-18,neutral
2018-09-18,negative
2018-09-18,negative
2018-09-18,negative
2018-09-18,neutral
2018-09-18,negative
2018-09-18,negative
2018-09-18,positive
2018-09-19,neutral
2018-09-19,positive
2018-09-20,neutral
2018-09-21,positive
2018-09-21,negative
2018-09-23,neutral
2018-09-23,positive
2018-09-24,neutral
2018-09-24,neutral
2018-09-24,negative
2018-09-24,neutral
2018-09-24,neutral
2018-09-24,negative
2018-09-25,negative
2018-09-25,negative
2018-09-25,negative
2018-09-25,negative
2018-09-25,negative
2018-09-25,negative
2018-09-25,neutral
2018-09-25,neutral
2018-09-25,neutral
2018-09-25,negative
2018-09-25,neutral
2018-09-26,neutral
2018-09-26,positive
2018-09-26,negative
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-27,neutral
2018-09-28,negative
2018-09-28,negative
2018-09-28,negative
2018-09-28,neutral
2018-09-28,negative
2018-09-30,negative
2018-10-01,positive
2018-10-01,positive
2018-10-01,negative
2018-10-01,negative
2018-10-01,negative
2018-10-01,negative
2018-10-02,positive
2018-10-02,neutral
2018-10-02,neutral
2018-10-02,neutral
2018-10-02,neutral
2018-10-02,neutral
2018-10-03,neutral
2018-10-03,neutral
2018-10-03,negative
2018-10-04,positive
2018-10-04,positive
2018-10-04,negative
2018-10-04,negative
2018-10-04,negative
2018-10-04,negative
2018-10-04,negative
2018-10-04,negative
2018-10-04,negative
2018-10-05,negative
2018-10-05,neutral
2018-10-05,negative
2018-10-05,positive
2018-10-05,negative
2018-10-05,negative
2018-10-05,negative
2018-10-05,negative
2018-10-05,negative
2018-10-06,positive
2018-10-06,positive
2018-10-06,positive
2018-10-07,neutral
2018-10-07,negative
2018-10-08,neutral
2018-10-08,negative
2018-10-08,positive
2018-10-08,neutral
2018-10-08,neutral
2018-10-09,neutral
2018-10-09,neutral
2018-10-09,neutral
2018-10-09,neutral
2018-10-10,neutral
2018-10-10,neutral
2018-10-10,positive
2018-10-10,positive
2018-10-11,neutral
2018-10-11,negative
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,negative
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,positive
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-11,neutral
2018-10-13,negative
2018-10-15,negative
2018-10-15,neutral
2018-10-15,neutral
2018-10-15,negative
2018-10-15,negative
2018-10-15,negative
2018-10-15,neutral
2018-10-15,negative
2018-10-15,neutral
2018-10-15,negative
2018-10-15,neutral
2018-10-16,neutral
2018-10-16,positive
2018-10-16,negative
2018-10-16,neutral
2018-10-16,negative
2018-10-16,positive
2018-10-16,negative
2018-10-17,neutral
2018-10-17,negative
2018-10-17,neutral
2018-10-17,neutral
2018-10-17,neutral
2018-10-17,neutral
2018-10-18,neutral
2018-10-19,neutral
2018-10-19,negative
2018-10-19,negative
2018-10-20,negative
2018-10-20,negative
2018-10-20,neutral
2018-10-21,negative
2018-10-22,neutral
2018-10-22,neutral
